City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Verkhoturye,RU,58.8627,60.8054,2.03,90,88,11.03,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,64.81,79,0,1.99,clear sky
2,Putina,PE,-15.4667,-69.4333,49.35,74,71,8.32,light rain
3,Taoudenni,ML,22.6783,-3.9836,68.38,25,89,9.15,overcast clouds
4,Bredasdorp,ZA,-34.5322,20.0403,61.29,90,78,12.3,broken clouds
5,Khatanga,RU,71.9667,102.5,-28.82,100,13,5.53,few clouds
6,Busselton,AU,-33.65,115.3333,73.04,48,0,16.44,clear sky
7,Mataura,NZ,-46.1927,168.8643,65.48,34,0,3.33,clear sky
8,Broome,US,42.2506,-75.833,36.68,73,100,1.99,overcast clouds
9,Carnarvon,AU,-24.8667,113.6333,80.22,68,0,12.06,clear sky
10,Ushuaia,AR,-54.8,-68.3,55.63,70,91,7.63,overcast clouds
11,Upernavik,GL,72.7868,-56.1549,5.83,93,97,11.54,overcast clouds
12,Elko,US,41.0002,-115.5012,34.74,91,98,11.01,snow
13,Vyksa,RU,55.3175,42.1744,6.08,88,52,14.38,broken clouds
14,Rosario Oeste,BR,-14.8361,-56.4275,75.04,96,100,3.24,light rain
15,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,98,1.12,light rain
16,Rikitea,PF,-23.1203,-134.9692,77.67,68,68,8.77,broken clouds
17,Norman Wells,CA,65.282,-126.8329,-7.15,96,100,6.8,overcast clouds
18,Sao Filipe,CV,14.8961,-24.4956,75.51,68,82,8.08,broken clouds
19,Saint George,US,37.1041,-113.5841,57.25,52,75,1.01,broken clouds
20,Luangwa,ZM,-15.6167,30.4167,72.88,86,100,0.45,moderate rain
21,Aberdeen,GB,57.1437,-2.0981,39.69,69,90,10.36,overcast clouds
22,Esperance,AU,-33.8667,121.9,68.4,66,1,12.86,clear sky
23,Atuona,PF,-9.8,-139.0333,78.64,75,7,11.63,clear sky
24,Berlevag,NO,70.8578,29.0864,28.17,68,100,15.48,light snow
25,Bathsheba,BB,13.2167,-59.5167,78.6,76,82,15.77,broken clouds
26,Ponta Do Sol,PT,32.6667,-17.1,66.83,87,100,14.72,overcast clouds
27,Tawang,IN,27.5833,91.8667,19.69,82,10,7.29,clear sky
28,Verkhnevilyuysk,RU,63.4453,120.3167,-18.2,99,99,3.94,overcast clouds
29,Yatou,CN,37.15,122.3833,20.46,80,91,19.75,light snow
30,Georgetown,MY,5.4112,100.3354,78.89,92,20,0.0,few clouds
31,Ashington,GB,50.9331,-0.3909,50.43,91,100,1.99,overcast clouds
32,Twante,MM,16.7167,95.9333,64.53,83,3,4.05,clear sky
33,Manokwari,ID,-0.8667,134.0833,81.37,75,95,4.34,overcast clouds
34,Caravelas,BR,-17.7125,-39.2481,70.23,97,100,6.04,light rain
35,Hilo,US,19.7297,-155.09,75.25,56,79,7.72,broken clouds
36,Ostrovnoy,RU,68.0531,39.5131,14.05,87,100,17.87,overcast clouds
37,Avarua,CK,-21.2078,-159.775,82.45,83,75,18.41,light rain
38,East London,ZA,-33.0153,27.9116,64.15,90,72,10.11,broken clouds
39,Kapaa,US,22.0752,-159.319,78.78,69,29,4.0,light rain
40,Berdigestyakh,RU,62.0989,126.6992,-35.84,100,98,0.36,overcast clouds
41,Majene,ID,-3.5403,118.9707,80.29,76,96,5.41,overcast clouds
42,Dikson,RU,73.5069,80.5464,-6.54,88,48,7.96,scattered clouds
43,Chokurdakh,RU,70.6333,147.9167,-37.46,100,100,6.64,overcast clouds
44,Albany,US,42.6001,-73.9662,28.51,85,92,2.08,overcast clouds
45,Along,IN,28.1667,94.7667,46.67,66,50,1.72,scattered clouds
46,Provideniya,RU,64.3833,-173.3,8.37,95,100,18.57,snow
47,Dingle,PH,10.9995,122.6711,75.29,93,67,6.31,broken clouds
48,Butaritari,KI,3.0707,172.7902,81.79,77,100,9.62,overcast clouds
49,Nabire,ID,-3.3667,135.4833,83.16,72,70,0.36,broken clouds
50,Ayagoz,KZ,47.9714,80.4392,14.85,89,99,7.87,overcast clouds
51,Sambava,MG,-14.2667,50.1667,74.43,91,56,4.85,broken clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,73.2,74,10,11.32,clear sky
53,Ubinskoye,RU,55.3068,79.6802,-2.27,97,65,2.82,broken clouds
54,Coronel,CL,-37.0167,-73.1333,64.83,56,0,11.07,clear sky
55,Matara,LK,5.9485,80.5353,72.3,88,65,7.74,broken clouds
56,Wuchi,CN,29.3786,103.023,35.11,98,100,2.82,light rain
57,Portland,US,45.5234,-122.6762,41.52,92,100,3.0,light rain
58,Englewood,US,39.6478,-104.9878,43.41,85,75,1.99,broken clouds
59,Vaini,TO,-21.2,-175.2,79.57,65,21,6.55,few clouds
60,Castro,BR,-24.7911,-50.0119,56.48,91,16,7.18,few clouds
61,Mandera,KE,3.9366,41.867,80.67,68,78,15.57,broken clouds
62,Bluff,NZ,-46.6,168.3333,65.8,57,0,4.99,clear sky
63,Te Anau,NZ,-45.4167,167.7167,68.18,42,0,2.84,clear sky
64,Likasi,CD,-10.9814,26.7333,61.27,98,99,4.05,light rain
65,Fethiye,TR,36.6217,29.1164,35.47,36,0,5.79,clear sky
66,Hermanus,ZA,-34.4187,19.2345,66.9,85,95,13.62,overcast clouds
67,Watsa,CD,3.0372,29.5355,66.83,72,84,2.28,broken clouds
68,Buta,CD,2.7858,24.73,72.21,88,100,2.42,overcast clouds
69,Qaanaaq,GL,77.484,-69.3632,3.25,85,98,6.44,overcast clouds
70,Aginskoye,RU,51.1,114.53,-15.59,85,7,7.85,clear sky
71,Port-Gentil,GA,-0.7193,8.7815,79.95,84,19,15.05,few clouds
72,Boyuibe,BO,-20.4167,-63.2833,74.1,69,97,3.31,overcast clouds
73,San Ignacio,BZ,17.1561,-89.0714,69.58,74,19,3.94,few clouds
74,Lucapa,AO,-8.4192,20.7447,65.44,99,100,2.46,light rain
75,Chuy,UY,-33.6971,-53.4616,67.91,79,2,13.53,clear sky
76,Ulladulla,AU,-35.35,150.4667,86.77,58,6,6.8,clear sky
77,Hithadhoo,MV,-0.6,73.0833,81.63,75,32,8.43,scattered clouds
78,Bengkulu,ID,-3.8004,102.2655,76.28,88,75,4.56,broken clouds
79,Namibe,AO,-15.1961,12.1522,67.32,75,27,7.27,scattered clouds
80,Verkh-Usugli,RU,52.7,115.1667,-17.12,84,37,2.98,scattered clouds
81,Hobart,AU,-42.8794,147.3294,69.12,46,20,5.01,few clouds
82,Dakar,SN,14.6937,-17.4441,77.88,66,99,13.6,overcast clouds
83,Bilma,NE,18.6853,12.9164,61.34,22,5,8.75,clear sky
84,Grand Gaube,MU,-20.0064,57.6608,76.37,85,97,3.74,overcast clouds
85,Puro,PH,12.4841,123.3827,79.77,81,61,10.56,broken clouds
86,Nouakchott,MR,18.0858,-15.9785,71.53,34,0,11.25,clear sky
87,Vestmannaeyjar,IS,63.4427,-20.2734,38.98,78,85,21.36,overcast clouds
88,Ribeira Grande,PT,38.5167,-28.7,63.81,96,100,15.19,overcast clouds
89,Paita,PE,-5.0892,-81.1144,69.89,82,10,16.75,clear sky
90,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.42,79,64,2.44,broken clouds
91,Champerico,GT,14.3,-91.9167,83.35,66,5,5.7,clear sky
92,Tayu,ID,-6.5397,111.0518,80.89,77,99,2.48,overcast clouds
93,Samarai,PG,-10.6167,150.6667,84.45,70,45,7.94,scattered clouds
94,Sitka,US,57.0531,-135.33,28.29,31,20,9.22,few clouds
95,Jamestown,US,42.097,-79.2353,51.39,61,90,8.05,overcast clouds
96,Ahipara,NZ,-35.1667,173.1667,74.61,52,11,6.6,few clouds
97,Kattivakkam,IN,13.2167,80.3167,73.08,87,27,4.05,scattered clouds
98,Xining,CN,36.6167,101.7667,15.42,77,36,1.52,scattered clouds
99,Igrim,RU,63.1906,64.4162,3.38,94,100,9.46,light snow
100,Tias,ES,28.9611,-13.645,60.55,82,20,4.61,few clouds
101,Flinders,AU,-34.5833,150.8552,84.18,69,26,9.55,scattered clouds
102,Wajima,JP,37.4,136.9,36.48,94,100,23.8,light rain
103,Ledyard,US,41.4398,-72.0142,31.17,84,90,1.01,overcast clouds
104,Nuqui,CO,5.7125,-77.2708,78.04,88,74,1.28,light rain
105,Yellowknife,CA,62.456,-114.3525,-7.6,97,100,7.74,overcast clouds
106,Mount Gambier,AU,-37.8333,140.7667,62.51,88,90,13.8,overcast clouds
107,The Valley,AI,18.217,-63.0578,78.1,69,8,8.57,clear sky
108,Taicheng,CN,38.731,113.228,3.52,64,9,3.31,clear sky
109,Celestun,MX,20.8667,-90.4,74.41,64,0,15.5,clear sky
110,Waw,SS,7.7029,27.9953,73.35,27,70,4.92,broken clouds
111,Nome,US,64.5011,-165.4064,17.11,86,90,24.16,snow
112,Iseyin,NG,7.9667,3.6,75.69,58,47,3.69,scattered clouds
113,Palu,ID,-0.8917,119.8707,79.66,76,81,1.74,broken clouds
114,Port Hardy,CA,50.6996,-127.4199,31.87,61,54,5.53,broken clouds
115,Azul,AR,-36.777,-59.8585,72.34,73,73,3.36,broken clouds
116,Wattegama,LK,6.7989,81.4808,66.09,90,5,3.94,clear sky
117,Pevek,RU,69.7008,170.3133,-23.69,100,95,1.34,overcast clouds
118,Mar Del Plata,AR,-38.0023,-57.5575,69.82,83,75,16.11,broken clouds
119,Mahebourg,MU,-20.4081,57.7,76.24,78,98,1.23,overcast clouds
120,Bac Lieu,VN,9.285,105.7244,76.95,84,73,13.18,broken clouds
121,Kodiak,US,57.79,-152.4072,47.71,34,90,3.44,overcast clouds
122,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,91,75,3.0,broken clouds
123,Salinas,US,36.6777,-121.6555,55.71,63,75,11.5,broken clouds
124,Tasiilaq,GL,65.6145,-37.6368,23.16,53,4,5.19,clear sky
125,Katsuura,JP,35.1333,140.3,51.82,89,100,6.49,overcast clouds
126,Gazanjyk,TM,39.2446,55.5154,33.22,100,100,12.33,snow
127,Tuktoyaktuk,CA,69.4541,-133.0374,-12.89,94,100,14.63,overcast clouds
128,Prado,BR,-17.3411,-39.2208,69.13,96,100,7.49,heavy intensity rain
129,Rapid Valley,US,44.0625,-103.1463,37.04,60,1,3.0,clear sky
130,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,69.89,78,6,11.36,clear sky
131,Alugan,PH,12.2188,125.4808,81.37,78,82,10.36,broken clouds
132,Ust-Kut,RU,56.7938,105.7672,-22.23,95,53,2.55,broken clouds
133,Torbay,CA,47.6666,-52.7314,25.57,82,95,7.0,light snow
134,Souillac,MU,-20.5167,57.5167,76.35,77,99,2.95,overcast clouds
135,Kothi,IN,24.75,80.7833,55.15,44,0,2.48,clear sky
136,College,US,64.8569,-147.8028,-3.33,75,100,3.02,overcast clouds
137,Teahupoo,PF,-17.8333,-149.2667,82.36,73,57,10.31,broken clouds
138,Henderson,US,36.0397,-114.9819,62.04,45,1,20.71,clear sky
139,Nanortalik,GL,60.1432,-45.2371,31.98,67,100,17.65,overcast clouds
140,Tarko-Sale,RU,64.9225,77.785,9.27,88,99,22.35,overcast clouds
141,Wembley,AU,-31.9333,115.8,81.09,47,0,19.57,clear sky
142,Luderitz,NA,-26.6481,15.1594,61.77,95,11,7.63,few clouds
143,Ixtapa,MX,20.7,-105.2,76.23,87,1,4.0,clear sky
144,Talnakh,RU,69.4865,88.3972,16.21,95,100,7.78,light snow
145,Punta Arenas,CL,-53.15,-70.9167,59.11,67,0,27.63,light rain
146,Thompson,CA,55.7435,-97.8558,-0.24,85,90,4.61,light snow
147,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.81,85,99,11.41,overcast clouds
148,Karasburg,NA,-28.0167,18.75,67.19,44,4,14.09,clear sky
149,Foca,TR,38.6703,26.7566,42.64,66,8,9.62,clear sky
150,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.47,48,31,0.51,scattered clouds
151,New Norfolk,AU,-42.7826,147.0587,69.75,46,47,4.0,scattered clouds
152,Port Lincoln,AU,-34.7333,135.8667,64.18,76,99,12.88,overcast clouds
153,Carutapera,BR,-1.195,-46.02,79.65,81,63,7.0,broken clouds
154,Severnoye,RU,56.3491,78.3619,-4.45,96,43,5.26,scattered clouds
155,Esmeraldas,BR,-19.7625,-44.3139,68.86,92,28,5.79,scattered clouds
156,Kiri Buru,IN,22.0833,85.35,55.69,59,3,1.83,clear sky
157,Devaprayag,IN,30.15,78.6167,47.57,56,0,4.99,clear sky
158,Pochutla,MX,15.7432,-96.4661,80.42,73,8,3.36,clear sky
159,Lebu,CL,-37.6167,-73.65,57.69,85,0,21.56,clear sky
160,San Rafael Del Sur,NI,11.8485,-86.4384,81.01,54,39,14.09,scattered clouds
161,Santa Cruz De Tenerife,ES,28.4682,-16.2546,65.71,93,20,1.01,few clouds
162,Meulaboh,ID,4.1363,96.1285,74.37,83,30,3.06,scattered clouds
163,Moroni,KM,-11.7022,43.2551,79.05,72,50,5.55,scattered clouds
164,Severo-Kurilsk,RU,50.6789,156.125,28.04,85,100,9.04,light snow
165,Bethel,US,41.3712,-73.414,33.04,86,1,0.0,clear sky
166,Port Alfred,ZA,-33.5906,26.891,63.55,88,73,11.07,broken clouds
167,Iaciara,BR,-14.0958,-46.6317,67.62,99,100,1.16,overcast clouds
168,Kruisfontein,ZA,-34.0033,24.7314,56.88,96,100,4.72,overcast clouds
169,Yantal,RU,56.8471,105.2542,-16.1,90,54,3.76,broken clouds
170,Rio Grande,BR,-32.035,-52.0986,69.94,78,18,14.32,few clouds
171,Kalga,RU,50.9251,118.898,-21.48,86,53,4.07,broken clouds
172,Vao,NC,-22.6667,167.4833,77.81,80,20,12.44,few clouds
173,Salalah,OM,17.0151,54.0924,69.89,73,20,4.61,few clouds
174,Saskylakh,RU,71.9167,114.0833,-40.68,100,50,1.9,scattered clouds
175,Esna,EG,25.2934,32.554,53.67,50,0,13.47,clear sky
176,Vostok,RU,46.4856,135.8833,-27.83,97,100,1.95,overcast clouds
177,Laguna,US,38.421,-121.4238,56.05,71,75,5.01,broken clouds
178,Yar-Sale,RU,66.8333,70.8333,9.73,91,100,16.87,overcast clouds
179,Agirish,RU,61.9247,63.0231,1.45,90,100,8.12,overcast clouds
180,Hami,CN,42.8,93.45,25.32,50,0,1.68,clear sky
181,Roros,NO,62.5747,11.3842,8.44,92,20,2.3,light snow
182,Harper,LR,4.375,-7.7169,79.66,81,71,6.85,broken clouds
183,Puerto Escondido,MX,15.85,-97.0667,81.43,69,20,5.75,few clouds
184,Henties Bay,NA,-22.116,14.2845,61.43,94,1,1.03,clear sky
185,Chernyy Yar,RU,48.0624,46.1091,13.1,76,14,11.81,few clouds
186,Fortuna,US,40.5982,-124.1573,48.54,94,90,4.0,overcast clouds
187,Shanghai,CN,31.2222,121.4581,40.93,58,75,3.0,broken clouds
188,Huarmey,PE,-10.0681,-78.1522,69.76,83,30,9.62,scattered clouds
189,Araouane,ML,18.9048,-3.5265,70.14,20,100,9.51,overcast clouds
190,Maceio,BR,-9.6658,-35.7353,80.47,79,91,13.09,overcast clouds
191,Ust-Koksa,RU,50.2696,85.6108,8.42,87,100,1.1,overcast clouds
192,Bihoro,JP,43.8228,144.1044,17.38,76,17,2.15,few clouds
193,Itarema,BR,-2.9248,-39.9167,80.35,80,81,11.65,broken clouds
194,Chernyshevskiy,RU,63.0128,112.4714,-18.89,96,79,2.53,broken clouds
195,Havre-Saint-Pierre,CA,50.2334,-63.5986,22.73,67,100,26.84,overcast clouds
196,Semnan,IR,35.5729,53.3971,36.59,60,1,2.39,clear sky
197,Lago Da Pedra,BR,-4.3333,-45.1667,75.88,89,58,3.0,broken clouds
198,Tateyama,JP,34.9833,139.8667,51.73,87,75,5.75,mist
199,Nsanje,MW,-16.92,35.262,76.1,89,98,1.74,overcast clouds
200,Lodwar,KE,3.1191,35.5973,80.98,61,89,11.14,overcast clouds
201,Pisco,PE,-13.7,-76.2167,69.85,73,0,14.97,clear sky
202,Hampton,US,37.0299,-76.3452,55.42,56,1,1.99,clear sky
203,Komsomolskiy,UZ,40.4272,71.7189,33.22,80,75,4.61,broken clouds
204,Vila Velha,BR,-20.3297,-40.2925,73.35,82,0,1.99,light rain
205,Hovd,MN,48.0056,91.6419,-0.11,71,13,3.69,few clouds
206,Juquia,BR,-24.3208,-47.6347,64.17,91,40,1.81,scattered clouds
207,Gainesville,US,29.6516,-82.3248,60.94,77,1,0.0,clear sky
208,Pundaguitan,PH,6.3711,126.1689,80.8,77,79,10.04,broken clouds
209,Flin Flon,CA,54.7682,-101.865,-4.65,90,100,10.51,overcast clouds
210,Baganga,PH,7.5739,126.56,80.02,82,97,5.7,overcast clouds
211,Leningradskiy,RU,69.3833,178.4167,-21.71,99,93,4.23,overcast clouds
212,Surami,GE,42.0243,43.5556,13.69,74,87,4.18,overcast clouds
213,Nikolskoye,RU,59.7035,30.7861,8.49,98,100,2.71,overcast clouds
214,San Cristobal,VE,7.7669,-72.225,68.22,93,93,1.01,overcast clouds
215,Hambantota,LK,6.1241,81.1185,71.51,82,8,13.42,clear sky
216,Betioky,MG,-23.7167,44.3833,71.6,91,77,1.74,broken clouds
217,Moron,AR,-34.6534,-58.6198,87.69,45,1,3.0,clear sky
218,Tabuk,PH,17.4189,121.4443,74.12,90,56,2.37,broken clouds
219,Nantucket,US,41.2835,-70.0995,34.14,81,86,4.63,overcast clouds
220,Velingara,SN,13.15,-14.1167,77.92,19,95,5.88,overcast clouds
221,Bubaque,GW,11.2833,-15.8333,80.67,70,84,10.38,broken clouds
222,Hasaki,JP,35.7333,140.8333,45.0,86,100,4.72,overcast clouds
223,Labuhan,ID,-6.8844,112.2051,80.94,80,100,4.05,overcast clouds
224,Mae Sai,TH,20.4335,99.8762,60.44,84,96,1.12,overcast clouds
225,Faanui,PF,-16.4833,-151.75,82.44,70,53,14.83,broken clouds
226,Vangaindrano,MG,-23.35,47.6,75.02,92,100,2.82,overcast clouds
